OBJECTID,price,m2,rooms_number,market,building_type,floor_no,building_floor,windows_type,heating,build_year,construction,rent,building_ownership,latitude,longitude,building_material,metro_distance,bust_tram_distance,rail_distance,centre_travel_time,park_distance,uniqueID,district_numerical,is_duplicate,labels,geometry
2029,729000.0,61.0,3,1,1,1,4,1,5,1974,0,0.0,3,52.2881446528,21.0350331717,9,665.39,51.96,1486.04,22,55.0,2035,10,False,0,POINT (21.0350331717 52.2881446528)
8651,749000.0,50.0,2,1,1,11,12,1,5,1976,2,850.0,1,52.227,20.90284,4,1467.27,119.59,2453.82,22,1095.0,8676,1,False,1,POINT (20.90284 52.227)
8561,1740000.0,67.0,3,1,0,2,6,2,2,2024,0,900.0,0,52.1848946,21.0120127567,1,552.39,176.55,1784.43,15,799.0,8586,4,False,0,POINT (21.0120127567 52.1848946)
8848,650000.0,35.0,2,1,1,10,10,1,5,1965,3,0.0,0,52.2474545891,20.9876234532,9,897.05,65.57,1304.88,10,682.0,8873,17,False,0,POINT (20.9876234532 52.2474545891)
3026,632000.0,55.73,2,1,1,1,3,1,5,1952,2,617.0,0,52.20569,21.17779,9,10220.51,148.61,640.72,27,43.0,3035,13,False,2,POINT (21.17779 52.20569)
1931,699000.0,39.0,2,1,1,1,9,1,5,1964,0,650.0,0,52.2336,20.93939,9,634.08,119.71,1326.14,17,473.0,1936,17,False,0,POINT (20.93939 52.2336)
3152,730000.0,37.4,2,1,1,3,10,1,5,1970,2,700.0,1,52.22575,21.03842,9,1636.45,165.2,1124.71,9,135.0,3161,9,False,0,POINT (21.03842 52.22575)
2859,1099500.0,175.0,5,1,1,0,2,1,2,2023,3,0.0,3,52.21889,21.25173,0,14546.3,601.38,3755.12,27,1594.0,2868,14,False,2,POINT (21.25173 52.21889)
1196,768000.0,48.0,3,1,1,4,4,2,3,1960,3,500.0,0,52.290349,20.93427,9,241.98,94.07,4606.42,20,933.0,1201,3,False,1,POINT (20.93427 52.290349)
13649,859000.0,72.0,4,0,0,4,4,1,5,2024,1,0.0,0,52.3622272613,20.9465993238,0,7930.11,45.42,1809.84,29,11.0,13699,2,False,2,POINT (20.9465993238 52.3622272613)
12426,636000.0,40.0,2,1,1,0,6,1,5,2004,0,0.0,3,52.1959664,20.8620907,9,5878.41,105.5,727.35,27,819.0,12471,11,False,2,POINT (20.8620907 52.1959664)
5910,950000.0,63.7,4,1,1,3,4,1,5,1975,0,731.0,1,52.178272,21.058282489,4,2228.78,65.26,4876.29,21,861.0,5930,4,False,1,POINT (21.058282489 52.178272)
2230,710000.0,37.0,1,1,1,5,5,1,5,2008,0,540.0,0,52.1318241212,21.0659716693,1,25.15,83.42,5127.97,29,775.0,2236,12,False,1,POINT (21.0659716693 52.1318241212)
7386,609000.0,39.3,2,1,1,0,8,1,5,2008,0,644.0,0,52.1922195523,20.9033747405,7,5210.0,142.58,1340.25,22,573.0,7409,11,False,1,POINT (20.9033747405 52.1922195523)
5603,1150000.0,76.91,3,1,1,4,6,1,5,2016,0,780.0,0,52.20014,20.89188,9,4521.11,82.8,637.03,23,444.0,5623,11,False,1,POINT (20.89188 52.20014)
11751,1290000.0,70.8,3,1,1,1,4,1,5,2013,3,0.0,3,52.23775,21.10628,8,4393.23,116.46,1336.86,15,472.0,11792,6,False,1,POINT (21.10628 52.23775)
1507,570000.0,33.0,1,1,0,2,2,1,5,2022,0,580.0,0,52.2353,21.12297,9,5564.82,184.32,879.52,18,856.0,1512,6,False,1,POINT (21.12297 52.2353)
4375,915000.0,57.3,4,1,1,1,10,1,5,0,0,800.0,0,52.1772518986,21.0180808841,9,573.53,208.7,2148.6,18,1181.0,4387,4,False,0,POINT (21.0180808841 52.1772518986)
8079,897247.0,72.62,3,1,1,2,2,1,5,1960,0,890.0,3,52.21416725,21.17420087,1,9613.53,496.77,983.71,23,872.0,8102,13,False,2,POINT (21.17420087 52.21416725)
7143,910000.0,61.0,3,1,1,1,3,1,5,1991,0,977.0,1,52.1940436066,21.0517350949,9,2348.44,204.55,4681.78,16,518.0,7165,4,False,0,POINT (21.0517350949 52.1940436066)
5557,837380.0,56.2,2,1,1,2,4,1,5,1995,0,0.0,3,52.2327,20.9094,1,707.24,403.43,2966.91,22,713.0,5577,1,False,1,POINT (20.9094 52.2327)
8855,630000.0,27.0,1,1,1,10,15,1,5,1969,0,690.0,1,52.23705,20.99045,9,623.7,82.29,1244.18,8,429.0,8880,17,False,0,POINT (20.99045 52.23705)
219,699000.0,48.93,3,1,1,2,3,1,2,2016,0,750.0,0,52.3440599,21.0455067,0,5693.66,386.57,4198.28,26,1319.0,220,2,False,2,POINT (21.0455067 52.3440599)
9515,1150000.0,60.0,3,1,1,1,2,1,5,2022,0,800.0,0,52.17679,21.10885,9,5218.19,134.53,5101.57,25,392.0,9541,15,False,2,POINT (21.10885 52.17679)
12974,670000.0,37.0,2,1,1,5,10,1,5,1975,0,650.0,1,52.25943,21.05427,4,700.36,110.98,564.37,17,343.0,13024,7,False,0,POINT (21.05427 52.25943)
2329,977336.5,75.47,3,1,1,0,5,1,2,2009,0,1242.06,0,52.2870644,21.0829522,1,1461.07,76.34,1035.98,21,794.0,2336,10,False,1,POINT (21.0829522 52.2870644)
5265,940000.0,80.2,3,1,1,2,3,1,5,2010,3,1300.0,0,52.23624,21.13537,9,6375.34,318.65,75.61,19,689.0,5284,13,False,1,POINT (21.13537 52.23624)
9416,659000.0,30.0,2,1,1,1,3,1,5,1956,0,600.0,0,52.202,21.01634,9,384.53,253.36,2627.07,11,397.0,9442,4,False,0,POINT (21.01634 52.202)
3808,768500.0,51.9,2,1,1,2,5,1,5,2007,0,900.0,0,52.188273,20.89452,1,5747.6,191.82,1098.96,22,691.0,3817,11,False,1,POINT (20.89452 52.188273)
